,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
11,2,True,"01 5, 2017",AW8UBYMNJ894V,B000KPIHQ4,"{'Size Name:': "" Men's 8-8.5, Women's 10-10.5"", 'Style:': ' Pinnacle'}",Cognizant Consumer,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,1483574400,,
12,5,True,"10 17, 2016",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,We have used these inserts for years.  They provide great support.,Great inserts,1476662400,,
13,5,True,"08 22, 2016",AW8UBYMNJ894V,B000KPIHQ4,,Cognizant Consumer,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,1471824000,,
14,5,True,"03 23, 2016",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,Excellent insole with good support.,Five Stars,1458691200,,
15,5,True,"06 24, 2015",AW8UBYMNJ894V,B000KPIHQ4,,Cognizant Consumer,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,1435104000,,
16,5,True,"11 17, 2014",A265UZVOZWTTXQ,B000KPIHQ4,,William_Jasper,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400,,
17,2,True,"01 25, 2018",A3HX4X3TIABWOV,B000V0IBDM,,Denise A. Conte,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,1516838400,,
18,2,True,"01 5, 2017",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,1483574400,,
19,5,True,"10 17, 2016",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,We have used these inserts for years.  They provide great support.,Great inserts,1476662400,,
20,5,True,"08 22, 2016",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,1471824000,,
21,5,True,"03 23, 2016",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,Excellent insole with good support.,Five Stars,1458691200,,
22,5,True,"06 24, 2015",AW8UBYMNJ894V,B000V0IBDM,,Cognizant Consumer,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,1435104000,,
23,5,True,"11 17, 2014",A265UZVOZWTTXQ,B000V0IBDM,,William_Jasper,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400,,
24,1,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,Waaaay too BIG,One Star,1520812800,,
25,5,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,Comfortable,Five Stars,1518048000,,
26,4,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR4W,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35.0,
27,5,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600,,
28,5,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200,3.0,
29,1,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,Waaaay too BIG,One Star,1520812800,,
30,5,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800,,
31,5,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200,,
32,3,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600,,
33,5,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600,,
34,3,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",jami,They fit great. But they fade bad,Three Stars,1492041600,,
35,4,True,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400,,
36,3,True,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Cici Ciconia,Average product.  As described.,Three Stars,1490313600,,
37,5,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR4W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,Comfortable,Five Stars,1518048000,,
38,5,True,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR5G,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,comfy fit,Five Stars,1489190400,,
39,2,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200,,
40,2,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200,,
41,4,True,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200,,
42,1,True,"02 8, 2017",A21HH0VIBKK80J,B000YFSR5G,,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,
43,3,True,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",Cici Ciconia,As described.,Three Stars,1485907200,,
44,5,True,"01 23, 2017",A2BFZUQ2XV535H,B000YFSR5G,,Amazon Customer,Very comfy for wearing at home.,Five Stars,1485129600,,
45,5,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,So comfortable and soft.,Hanes pants,1457395200,,
46,2,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,
47,3,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
48,4,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600,,
49,5,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,So comfortable and soft.,Hanes pants,1457395200,,
50,2,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,
51,3,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
52,4,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600,,
53,5,True,"02 4, 2015",A36GNVEQP92OPA,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Peter B. Thorp,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,1423008000,,
54,5,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600,,
55,5,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200,3.0,
56,4,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR5G,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35.0,
57,5,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800,,
58,5,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR4W,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200,,
59,3,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600,,
60,5,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600,,
61,3,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",jami,They fit great. But they fade bad,Three Stars,1492041600,,
62,4,True,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400,,
63,3,True,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR4W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Cici Ciconia,Average product.  As described.,Three Stars,1490313600,,
64,5,True,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR4W,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,comfy fit,Five Stars,1489190400,,
65,2,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Black'}",Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200,,
66,2,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Navy'}",Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200,,
67,4,True,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200,,
68,1,True,"02 8, 2017",A21HH0VIBKK80J,B000YFSR4W,,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,
69,3,True,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR4W,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",Cici Ciconia,As described.,Three Stars,1485907200,,
70,5,True,"07 22, 2015",A3CNRM11BHAR1A,B0012DR1LU,,DD,Havaiana's are THE BEST!!!,Five Stars,1437523200,,
71,5,True,"08 6, 2014",A3CNRM11BHAR1A,B0012DR1LU,,DD,Perfect color!,I love Havaianas!,1407283200,,
72,1,True,"02 19, 2018",A276HQXYS553QW,B0014F8TIU,"{'Size:': ' One Size', 'Color:': ' Black/White'}",AvidShopper,Should have listened to other reviews. The elastics does not hold up.,One Star,1518998400,,
73,1,True,"02 19, 2018",A276HQXYS553QW,B0014F8TIU,"{'Size:': ' One Size', 'Color:': ' White/Black'}",AvidShopper,Constantly rolls down,One Star,1518998400,,
74,5,True,"09 26, 2017",A3BN0MRGRDKM0J,B0014F8TIU,"{'Size:': ' One Size', 'Color:': ' Red/White/Blue'}",j.morris,Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,Great!!! Very high!,1506384000,,
75,4,True,"10 31, 2015",A276HQXYS553QW,B0014F8TIU,"{'Size:': ' One Size', 'Color:': ' Red/White/Blue'}",AvidShopper,I just wish they would not roll down.,Cute but will roll,1446249600,,
76,4,True,"01 29, 2016",A3HX4X3TIABWOV,B0014HA6VG,"{'Size:': ' One Size', 'Color:': ' Fireman (Red)'}",Denise A. Conte,"Sadly, not a true red. It's definitely orange",Four Stars,1454025600,,
77,5,True,"01 22, 2016",A3HX4X3TIABWOV,B0014HA6VG,"{'Size:': ' One Size', 'Color:': ' Space Hero (Blue)'}",Denise A. Conte,"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!","Well made, soft, thick & so very colorful ...",1453420800,,
78,3,True,"07 12, 2015",A1Z8U8IPBLBEU5,B0017LD0BM,{'Size:': ' 1.50'},Seth Hanson,Not pretty for fashion but great around the house and work.,Three Stars,1436659200,,
79,2,True,"05 21, 2015",A36GNVEQP92OPA,B0017LD0BM,{'Size:': ' 2.50'},Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,1432166400,,
80,4,True,"12 29, 2014",A33GD4H5O1MK6S,B0017LD0BM,{'Size:': ' 3.25'},phil bensinger,Excellent value,excellent value and quality,1419811200,,
81,3,True,"12 14, 2012",A12DWXDNZQTKXQ,B0017LD0BM,{'Size:': ' 2.75'},TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200,,
82,4,True,"12 25, 2009",A2VR6SWVSF6K4,B0017LD0BM,{'Size:': ' 2.25'},C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,1261699200,,
83,3,True,"07 12, 2015",A1Z8U8IPBLBEU5,B0017LGD34,,Seth Hanson,Not pretty for fashion but great around the house and work.,Three Stars,1436659200,,
84,2,True,"05 21, 2015",A36GNVEQP92OPA,B0017LGD34,,Peter B. Thorp,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",Huh,1432166400,,
85,4,True,"12 29, 2014",A33GD4H5O1MK6S,B0017LGD34,,phil bensinger,Excellent value,excellent value and quality,1419811200,,
86,3,True,"12 14, 2012",A12DWXDNZQTKXQ,B0017LGD34,,TDL Chicago,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",loose screws,1355443200,,
87,4,True,"12 25, 2009",A2VR6SWVSF6K4,B0017LGD34,,C. Schmitt,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",Good Value,1261699200,,
88,1,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,Waaaay too BIG,One Star,1520812800,,
89,5,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,Comfortable,Five Stars,1518048000,,
90,4,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR4W,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35.0,
91,5,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600,,
92,5,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200,3.0,
93,1,True,"03 12, 2018",A3QY3THQ42WSCQ,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,Waaaay too BIG,One Star,1520812800,,
94,5,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800,,
95,5,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200,,
96,3,True,"04 18, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Mark,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants,1492473600,,
97,5,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Charcoal Heather'}",jami,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars,1492041600,,
98,3,True,"04 13, 2017",A2NEJIX5NIH2ZZ,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",jami,They fit great. But they fade bad,Three Stars,1492041600,,
99,4,True,"04 5, 2017",A3T8NHQYBQSV1X,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Mark,I only give four stars because the pants have no pockets.,Four Stars,1491350400,,
100,3,True,"03 24, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Cici Ciconia,Average product.  As described.,Three Stars,1490313600,,
101,5,True,"02 8, 2018",AGZ5OOZVDO194,B000YFSR4W,"{'Size:': ' XX-Large', 'Color:': ' Deep Royal'}",Amazon Customer,Comfortable,Five Stars,1518048000,,
102,5,True,"03 11, 2017",A2BFZUQ2XV535H,B000YFSR5G,"{'Size:': ' Large', 'Color:': ' Charcoal Heather'}",Amazon Customer,comfy fit,Five Stars,1489190400,,
103,2,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Black'}",Sammy C.,Nice pants but too small for a medium. Return it.,Returned also,1487635200,,
104,2,True,"02 21, 2017",ABX2R8Q6GBTJ8,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Sammy C.,Nice pants but too small for a medium. Returned it.,Returned,1487635200,,
105,4,True,"02 21, 2017",A1Y01U6OZLZE7I,B000YFSR5G,"{'Size:': ' X-Large', 'Color:': ' Charcoal Heather'}",Heather Devine,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm.,1487635200,,
106,1,True,"02 8, 2017",A21HH0VIBKK80J,B000YFSR5G,,Sondra McDonald,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",1486512000,,
107,3,True,"02 1, 2017",A1G0HYMR02WM2W,B000YFSR5G,"{'Size:': ' XXX-Large', 'Color:': ' Light Steel'}",Cici Ciconia,As described.,Three Stars,1485907200,,
108,5,True,"01 23, 2017",A2BFZUQ2XV535H,B000YFSR5G,,Amazon Customer,Very comfy for wearing at home.,Five Stars,1485129600,,
109,5,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,So comfortable and soft.,Hanes pants,1457395200,,
110,2,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,
111,3,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
112,4,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600,,
113,5,True,"03 8, 2016",A3E30OLSMGJEVK,B000YFSR5G,,ladybug,So comfortable and soft.,Hanes pants,1457395200,,
114,2,True,"10 26, 2015",A26TEJJ6YOGWMZ,B000YFSR5G,,Henry A.,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",1445817600,,
115,3,True,"06 11, 2015",A2J9WEIRNVTX61,B000YFSR5G,,Wildcat,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,1433980800,,
116,4,True,"05 24, 2015",A2UUEV4MYOJY66,B000YFSR5G,,Fix-it Man,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,1432425600,,
117,5,True,"02 4, 2015",A36GNVEQP92OPA,B000YFSR5G,"{'Size:': ' Medium', 'Color:': ' Navy'}",Peter B. Thorp,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars,1423008000,,
118,5,True,"10 25, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Navy'}",Louis Robbio,Good product for the price.  Used very day and no problem.,Five Stars,1508889600,,
119,5,True,"10 14, 2017",A2ON4RYI9Z4SQ,B000YFSR4W,"{'Size:': ' Medium', 'Color:': ' Light Steel'}",Fhteacher,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit,1507939200,3.0,
120,4,True,"07 1, 2010",A3GJ3DJU1RXOHN,B000YFSR5G,,JCW,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,1277942400,35.0,
121,5,True,"07 30, 2017",A232J1FHOQI5YN,B000YFSR4W,"{'Size:': ' X-Large', 'Color:': ' Light Steel'}",Louis Robbio,Excellent value.  Comfortable.,Excellent Product,1501372800,,
122,5,True,"06 16, 2017",A1EZN3E9R322YJ,B000YFSR4W,"{'Size:': ' XXX-Large', 'Color:': ' Deep Royal'}",wayne ereira,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality,1497571200,,
